,Coefficient,Std Error,t-stat,p-value,Ann. Alpha,R²
Alpha,2.504832344974995e-05,0.000113776179155779,0.2201543735745821,0.8257669960933678,0.6312177509336987,0.5617439778769798
Mkt-RF,0.5375515743315539,0.010535633193264502,51.02223705692545,0.0,,
SMB,0.2953552039119588,0.019608921915353347,15.062286707394264,0.0,,
HML,0.03315760854057844,0.017924997058923774,1.84979715375023,0.0644482078162123,,
RMW,0.08199343970654693,0.024727242442793625,3.315915225736894,0.0009250998022269918,,
CMA,0.030716365421474927,0.029837024965715418,1.0294714522232,0.3033472012492635,,
Mom,0.3005829422035715,0.011559275390152645,26.00361459158922,0.0,,
