,Correlation,Abs Correlation
Market (Mkt-RF),0.6610897497077552,0.6610897497077552
SPY,0.6505489426095585,0.6505489426095585
Size (SMB),0.2335588310520161,0.2335588310520161
Momentum (UMD),0.1934293308655844,0.1934293308655844
Profitability (RMW),-0.15812489201170055,0.15812489201170055
Investment (CMA),-0.1227368064887319,0.1227368064887319
Value (HML),-0.05737222355637282,0.05737222355637282
