Year,Strategy,SPY,Alpha
2015,3.27,1.29,1.98
2016,-1.35,12.0,-13.35
2017,20.81,21.71,-0.89
2018,5.34,-4.57,9.91
2019,13.32,31.22,-17.9
2020,7.91,18.33,-10.42
2021,15.42,28.73,-13.31
2022,-8.36,-18.18,9.82
2023,-4.47,26.18,-30.64
2024,19.94,24.89,-4.94
2025,2.08,17.72,-15.64
2026,7.87,0.6,7.28
