ticker,weight,signal_score,sector
TPR,0.08190917381280431,0.6629662522202486,Consumer Cyclical
RTX,0.07834790538616065,0.5976909413854352,Industrials
RBC,0.074786636959517,0.8883214920071048,Industrials
DRRX,0.07122536853287331,0.9968916518650088,Unknown
AL,0.06766410010622967,0.9980017761989343,Industrials
DG,0.06054156325294233,0.7246891651865008,Consumer Cyclical
FCFS,0.05946530160450604,0.7770870337477798,Consumer Cyclical
CW,0.053419026399654984,0.48379218472468916,Industrials
TXNM,0.049857757973011334,0.980683836589698,Utilities
SXI,0.04629648954636766,0.5270870337477798,Industrials
TKR,0.04273522111972399,0.7024866785079928,Industrials
BPCGF,0.03917395269308033,0.9995559502664298,Financial Services
ULTA,0.035612684266436656,0.6940497335701599,Consumer Cyclical
PRA,0.032128303793488536,0.9711367673179396,Financial Services
RF,0.032051415839793,0.48134991119005327,Financial Services
VMI,0.028490147413149328,0.30506216696269983,Basic Materials
JBTM,0.024928878986505667,0.39742451154529307,Industrials
EVR,0.021367610559861996,0.5883658969804618,Financial Services
BCO,0.01999969235077865,0.49578152753108345,Industrials
CWCO,0.01999969235077865,0.8070603907637656,Utilities
CASY,0.01999969235077865,0.8015097690941385,Consumer Cyclical
TILE,0.01999969235077865,0.8321492007104796,Consumer Cyclical
WMTN,0.01999969235077865,1.0,Basic Materials
