,Days,Ann. Return,Ann. Vol,Sharpe,Sortino,Max DD,Win Rate,Beta
In-Sample,2263,5.39%,14.66%,0.295,0.397,-23.37%,53.6%,0.523
Out-of-Sample,541,13.84%,13.32%,0.890,1.285,-12.23%,53.8%,0.564
