Metric,Value
CAGR,6.97%
Total Return,111.61%
SPY CAGR,13.32%
Alpha vs SPY,-6.35%
Annualized Volatility,14.41%
Sharpe Ratio,0.401
Sortino Ratio,0.545
Calmar Ratio,0.298
Information Ratio,-0.458
Max Drawdown,-23.37%
Avg Drawdown Duration,35 days
Daily Win Rate,53.6%
Monthly Win Rate,59.7%
Profit Factor,1.10
Tail Ratio,0.94
Total Transaction Costs,"$12,617"
Beta to Market,0.529
