,Correlation,Abs Correlation
Market (Mkt-RF),0.7623891612333923,0.7623891612333923
SPY,0.7361039457275536,0.7361039457275536
Size (SMB),0.4017246339066568,0.4017246339066568
Profitability (RMW),-0.32024645683785263,0.32024645683785263
Investment (CMA),-0.22328323815249243,0.22328323815249243
Value (HML),-0.1184216524337812,0.1184216524337812
Momentum (UMD),0.036213975459699135,0.036213975459699135
