,Days,Ann. Return,Ann. Vol,Sharpe,Sortino,Max DD,Win Rate,Beta
In-Sample,2848,20.26%,33.55%,0.659,0.919,-54.76%,52.1%,1.442
Out-of-Sample,563,35.05%,34.28%,0.990,1.423,-28.40%,53.5%,1.772
