,mean_IC,IC_IR,pct_positive
1d_IC,0.028806202384796153,0.1389267370435963,0.5571559914189397
5d_IC,0.0503201705879533,0.2576163886835124,0.6182878183491869
10d_IC,0.05921879949563578,0.3169471677166797,0.6349108789182545
21d_IC,0.05368024777500222,0.2980283539072473,0.6271970397779834
