,Coefficient,Std Error,t-stat,p-value,Ann. Alpha,R²
Alpha,0.00029407044720084044,0.0002307995401533019,1.2741379250821414,0.20270420644312725,7.410575269461179,0.6904310754699161
Mkt-RF,1.377435337763261,0.17415254805794034,7.909360805361229,3.552713678800501e-15,,
SMB,1.0583027949569526,0.054060135675214414,19.576399166200485,0.0,,
HML,-0.19935955265598249,0.1073187020916733,-1.8576403624941948,0.06330906210891363,,
RMW,-0.14959911851775445,0.08194855723672849,-1.825524738472219,0.06801216297450408,,
CMA,0.02979621519436118,0.08131035645868363,0.3664504313113125,0.7140524721253048,,
Mom,0.3650977316481442,0.08160929275128298,4.473727431517344,7.946046035600673e-06,,
