regime,n_days,pct_time,ann_return,ann_volatility,sharpe,max_drawdown,win_rate,active_return
bear_calm,99,3.0%,-25.8%,37.4%,-0.67,-21.3%,51.5%,-6.4%
bear_volatile,397,12.0%,-44.7%,47.4%,-1.06,-70.2%,46.6%,-15.4%
bull_calm,2058,62.2%,22.8%,29.8%,0.77,-40.6%,53.1%,6.6%
bull_volatile,656,19.8%,83.2%,37.0%,1.77,-22.4%,58.5%,21.8%
unknown,101,3.1%,303.2%,30.6%,4.65,-9.3%,68.3%,194.8%
